STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,Elmore County,51,3,5538,"Elmore County, Alabama"
Alabama,1,Elmore County,51,4,2182,"Elmore County, Alabama"
Alabama,1,Elmore County,51,5,915,"Elmore County, Alabama"
Alabama,1,Escambia County,53,1,5532,"Escambia County, Alabama"
Alabama,1,Escambia County,53,2,4709,"Escambia County, Alabama"
Alabama,1,Escambia County,53,3,1543,"Escambia County, Alabama"
Alabama,1,Escambia County,53,4,443,"Escambia County, Alabama"
Alabama,1,Escambia County,53,5,194,"Escambia County, Alabama"
Alabama,1,Etowah County,55,1,12330,"Etowah County, Alabama"
Alabama,1,Etowah County,55,2,13318,"Etowah County, Alabama"
Alabama,1,Etowah County,55,3,7288,"Etowah County, Alabama"
Alabama,1,Etowah County,55,4,2391,"Etowah County, Alabama"
Alabama,1,Etowah County,55,5,1248,"Etowah County, Alabama"
Alabama,1,Fayette County,57,1,1937,"Fayette County, Alabama"
Alabama,1,Fayette County,57,2,2225,"Fayette County, Alabama"
Alabama,1,Fayette County,57,3,1409,"Fayette County, Alabama"
Alabama,1,Fayette County,57,4,496,"Fayette County, Alabama"
Alabama,1,Fayette County,57,5,222,"Fayette County, Alabama"
Alabama,1,Franklin County,59,1,3099,"Franklin County, Alabama"
Alabama,1,Franklin County,59,2,4169,"Franklin County, Alabama"
Alabama,1,Franklin County,59,3,1964,"Franklin County, Alabama"
Alabama,1,Franklin County,59,4,881,"Franklin County, Alabama"
Alabama,1,Franklin County,59,5,393,"Franklin County, Alabama"
Alabama,1,Geneva County,61,1,3165,"Geneva County, Alabama"
Alabama,1,Geneva County,61,2,3528,"Geneva County, Alabama"
Alabama,1,Geneva County,61,3,2058,"Geneva County, Alabama"
Alabama,1,Geneva County,61,4,764,"Geneva County, Alabama"
Alabama,1,Geneva County,61,5,237,"Geneva County, Alabama"
Alabama,1,Greene County,63,1,966,"Greene County, Alabama"
Alabama,1,Greene County,63,2,933,"Greene County, Alabama"
Alabama,1,Greene County,63,3,397,"Greene County, Alabama"
Alabama,1,Greene County,63,4,85,"Greene County, Alabama"
Alabama,1,Greene County,63,5,39,"Greene County, Alabama"
Alabama,1,Hale County,65,1,2009,"Hale County, Alabama"
Alabama,1,Hale County,65,2,1798,"Hale County, Alabama"
Alabama,1,Hale County,65,3,931,"Hale County, Alabama"
Alabama,1,Hale County,65,4,235,"Hale County, Alabama"
Alabama,1,Hale County,65,5,112,"Hale County, Alabama"
Alabama,1,Henry County,67,1,1897,"Henry County, Alabama"
Alabama,1,Henry County,67,2,2287,"Henry County, Alabama"
Alabama,1,Henry County,67,3,1489,"Henry County, Alabama"
Alabama,1,Henry County,67,4,399,"Henry County, Alabama"
Alabama,1,Henry County,67,5,143,"Henry County, Alabama"
Alabama,1,Houston County,69,1,14055,"Houston County, Alabama"
Alabama,1,Houston County,69,2,14570,"Houston County, Alabama"
